,agent,model,train_block,train_nll_hybrid,val_nll_hybrid,test_nll_hybrid,train_nll_habit,val_nll_habit,test_nll_habit,train_nll_kdh,val_nll_kdh,test_nll_kdh,train_nll_lr,val_nll_lr,test_nll_lr
0,0,hybrid,0,338.92285626185867,346.2889932845602,341.12553511247245,346.57349027998276,346.57349027998276,346.57349027998276,346.37346151210363,347.2376276361741,346.38938956046604,328.68693195819276,353.7636238814098,346.7744018793735
1,1,hybrid,0,328.6891640791531,316.4230181071251,321.8260071901956,346.57349027998276,346.57349027998276,346.57349027998276,346.5574901093472,346.38143733945026,346.60550795385086,319.2427729852892,331.8614760956715,350.04810948819204
2,2,hybrid,0,187.75817686663785,216.90841195828312,232.1967525925678,248.7463353547724,284.61736401889806,297.50525563215626,333.1206228375208,327.9987676952327,356.2765839377153,198.6685872641125,255.6417033889002,281.9680146724086
3,3,hybrid,0,249.29705735600447,231.47756333894412,236.64571300098055,311.3026626435418,292.4049796354134,312.58533341485713,344.6349837769826,355.04589726049585,349.92867118025174,269.1255309461518,292.64273998221506,311.8090565955432
4,4,hybrid,0,340.0378914835817,332.3700609059176,323.47854349816805,346.57349027998276,346.57349027998276,346.57349027998276,346.17328505199964,345.8210918628589,348.4635510081391,325.77078232941165,348.6722003628411,353.3620237282468
5,5,hybrid,0,289.220925710192,290.4757557611395,302.50188360906486,336.03165770396913,337.1381324741473,336.85949547725755,342.5204894633641,351.26544605545996,356.3427830106168,285.2219200632543,317.7331312455369,317.0220308576484
6,6,hybrid,0,197.74123586164427,213.64599938303994,161.6014680558863,267.7221824106441,264.52900709403946,213.15420371676743,346.08532621843926,356.33209056930946,357.0204111119633,195.3612731097179,231.62976460700338,202.2762293278903
7,7,hybrid,0,321.42652686163734,316.7261206791078,324.1067442073165,340.33278369794834,331.9587649309803,343.2156670298276,343.2876882744423,349.4203840798876,346.61957957605415,321.1179116284294,337.69248241801193,335.52042022322337
8,8,hybrid,0,293.0135318746316,285.0448599825261,299.7700160894233,328.3502371656366,330.6173224418676,334.20304432799765,344.6349837770008,342.34088851608743,355.57654776327684,306.9632027466887,326.72653548442975,340.11511455617864
9,9,hybrid,0,309.6606470401276,342.6280420501786,333.4818340628826,312.1300287708998,347.18796614703615,337.5877183011049,316.07052421216304,388.835250968193,416.7131373725457,297.13107042124363,419.662113422586,435.1289667008802
10,10,hybrid,0,286.6190729299375,278.9489343413853,269.34163810328687,317.5526377663175,313.3293401037112,297.0845908246256,345.6689350387977,341.7435682746958,342.17605187045837,285.1921348468187,314.6797435988217,309.3319355482555
11,11,hybrid,0,265.3513473947011,270.7153502603605,268.0587395841597,335.87087299370864,331.50161445934015,323.56031451944443,343.02570445455217,352.79513349777454,347.2064241609155,274.1094344950159,299.181022495502,298.4773825508734
12,12,hybrid,0,344.9862762920717,344.1333466586319,341.9205489367981,346.57349027998276,346.57349027998276,346.57349027998276,346.02913881525444,345.13171985144186,346.09331435377146,327.19920859928584,347.25617089424276,346.78682085454557
13,13,hybrid,0,318.02425118829717,334.2196299048752,323.85275395065173,337.0203906676136,350.57332743841334,347.69738166671834,336.48523522572873,352.86990170982807,353.0352275013099,311.1306202860907,347.44583234007825,347.90914252754857
14,14,hybrid,0,249.41401645341068,247.10499565312756,247.36659236228843,329.44126237794467,328.7373182188221,326.5294648960981,346.4454684256971,347.34174405532076,346.12535525523924,259.4835529812382,294.43696927848407,279.3838131457439
15,15,hybrid,0,344.8173445109707,348.4878568706811,345.7070132694517,344.16379731425303,346.66249438582275,346.7420393023,345.5487900814759,348.240409380648,348.7530984621284,329.5634447175066,348.65152003831565,350.7526328680275
16,16,hybrid,0,339.76975897670485,344.608602471386,344.4431337001953,344.67576120733736,346.71120250211777,346.4056192428634,345.8610868132416,346.9821920298217,349.49753456139376,326.22952527087983,350.63242165740303,345.0422520619647
17,17,hybrid,0,277.09460754007887,273.3581037250585,254.7937195757427,318.3461182715817,322.8037341510043,292.32661203756317,340.87690348453924,360.5492466444952,345.00662429962705,280.9217039545547,308.25983327342414,298.7805167388142
18,18,hybrid,0,342.3408069172322,341.81955121942406,346.0128859315312,346.39447692855657,346.5692204945297,346.6687843908376,345.5722356630101,348.82796455738173,348.87729201406364,324.33808731323757,348.3960558775028,343.38509024229506
19,19,hybrid,0,283.30174387366594,316.4679053127022,302.4688103862689,297.46076011462526,333.2592357930257,336.475683581301,304.57520495547317,407.2832581851719,403.0085361818935,275.2774098652918,399.0075392497299,377.49279019320716
20,20,hybrid,0,327.22588719141504,312.7434672015425,303.04522725968656,346.57349027998276,346.57349027998276,346.57349027998276,346.0531400953929,349.2256573867392,347.78368794069183,326.1159734314558,326.76336723568653,330.48515858543783
21,21,hybrid,0,328.6228656081214,325.9519080922853,317.83528910053167,342.83569124337475,341.6071004359024,343.3271275663701,343.4601070917123,346.1984181556626,352.6266324323145,318.83112052703456,336.3708871418144,345.9606857297633
