,agent,model,train_block,train_nll_hybrid,val_nll_hybrid,test_nll_hybrid,train_nll_habit,val_nll_habit,test_nll_habit,train_nll_kdh,val_nll_kdh,test_nll_kdh,train_nll_lr,val_nll_lr,test_nll_lr
0,0,hybrid,0,102.43304848820985,112.2160773939529,106.99526207324678,129.749210908085,132.92184620658105,126.73336847424213,138.10855809381087,138.34961973550298,136.42390641947577,88.84706826067784,135.4788132967048,121.14517818788663
1,1,hybrid,0,137.52624183425417,137.47637548365708,137.3775868408972,138.6293961119931,138.6293961119931,138.6293961119931,138.3692666091846,137.80864144823846,138.12863255467903,120.74233256037742,140.58381814861832,146.57433638206237
2,2,hybrid,0,138.6293961119931,138.6293961119931,138.6293961119931,138.6293961119931,138.6293961119931,138.6293961119931,137.32582720326053,141.47586272083078,138.9780726312967,115.90446404000694,139.52389886256447,136.9027648425333
3,3,hybrid,0,137.98899399336398,135.68983063670223,141.30485274672742,138.6293961119931,138.6293961119931,138.6293961119931,137.80821721720295,139.65264134505705,137.76788893672332,117.52782639732189,151.20902141790262,149.25720180530726
4,4,hybrid,0,132.1140185540604,134.84684214760898,134.16051131735503,138.52409144630795,137.62709688105895,138.02054066611288,138.12894574602768,137.36697459433526,137.12668747277826,105.79222572791988,144.96328113923485,144.3640128511015
5,5,hybrid,0,125.86872233944473,126.86871300273131,126.41287436635126,136.87452485154193,137.06741866903158,136.26441853434852,137.26385672821561,136.5434378386381,143.714073825708,110.47741841390774,133.9510085300613,137.02696495621439
6,6,hybrid,0,121.23086259149932,112.77517628647551,111.43303714224292,138.6293961119931,138.6293961119931,138.6293961119931,136.62214004445676,138.6293650114559,140.41378405926187,106.80195011487342,125.52920457426234,123.18918798211796
7,7,hybrid,0,68.33419363113606,89.95702237001552,79.6631102205189,110.41431288445077,119.05272016001263,115.00490882180176,122.12519470183535,168.8943597581179,139.17546641448368,44.88766884919018,99.17682280748835,87.53070713657522
8,8,hybrid,0,77.54299133455888,97.89750234537989,107.82189433610696,103.34078760265096,119.05167536941062,117.50279979241516,136.62214004445687,142.34677325191973,133.564973688514,64.37108765031948,115.47176051831335,140.32670026641551
9,9,hybrid,0,132.23014418186028,135.36214840067856,136.8399737548953,138.6293961119931,138.6293961119931,138.6293961119931,138.26917980035978,138.50946167725454,138.14904676151207,118.25065305879704,131.5498792402226,143.38736007931635
10,10,hybrid,0,91.40394533909314,77.05564318747568,91.09193339560981,120.71636437370096,106.88812857130142,114.3697502886697,138.52937343144808,138.289074036628,137.68856582338177,86.45007765393835,96.38290664502873,119.92479012519411
11,11,hybrid,0,130.56013692644828,136.26014870353183,136.71327954754742,137.94876848814852,138.49811585485165,139.4900567061417,138.58939344490017,138.50913964764553,138.70932410298118,111.7927014334787,152.5008907418678,166.04370168192352
12,12,hybrid,0,136.37122189829518,136.94425487119042,140.9250358655434,138.54840897975498,138.6293961119931,138.6293961119931,137.88765674768985,140.21813489457992,139.6157947232967,110.38772208954876,144.14321959097236,139.79211907059295
13,13,hybrid,0,88.2787542992455,99.36334784202884,95.75808489657783,125.47877713347123,127.09071414783068,126.01266867551985,132.8127853128432,150.43646487096737,143.0932643460671,70.91808469863271,114.91674384213412,135.79091639961604
14,14,hybrid,0,124.35399928244877,122.29572127800344,127.64009449528956,138.6293961119931,138.6293961119931,138.6293961119931,137.32387674166722,138.6522406190808,141.07440469393907,106.25230915373164,130.15227210528144,138.42380206206496
15,15,hybrid,0,133.8962902304491,142.41697442101326,141.5196176404124,138.6293961119931,138.6293961119931,138.6293961119931,136.92051138249624,137.0805603690847,142.05225724186144,117.59232395365828,142.9327886054475,145.45344600685115
16,16,hybrid,0,68.12337117735805,103.16949013660775,92.25808643338053,91.92050253996031,116.01353550576215,110.86212561378983,138.52937343144882,136.28858834099395,139.0896746617663,64.71043702260674,131.43375483788094,128.65770923904662
17,17,hybrid,0,111.24800651863768,110.36129880116866,114.03287593729772,130.1343537164711,122.20535873514632,123.9962242663004,136.1694854076331,135.06032583686013,139.54069994218275,112.370996636216,120.05261499101772,131.56230498048376
18,18,hybrid,0,126.54920701147302,136.8906284266719,132.72877571550856,131.4748345797703,137.0356605759138,133.4076334337247,133.33760392870929,144.68904374464853,133.12886656062125,105.17803527703265,149.74319457359724,136.3461398048694
